name,id,model_type,license,date_released,date_last_modified,downloads,author
stable-audio-open-small-Source,ComfyAudio/stable-audio-open-small-Source,,cc-by-nc-sa-4.0,2025-09-29T13:02:39+00:00,2025-09-29T13:02:39+00:00,,ComfyAudio
stable-audio-open-1.0-Source,ComfyAudio/stable-audio-open-1.0-Source,,cc-by-nc-sa-4.0,2025-09-29T13:01:39+00:00,2025-09-29T13:01:39+00:00,,ComfyAudio
JSL-joysafety-v1,jd-opensource/JSL-joysafety-v1,,,2025-09-23T07:51:20+00:00,2025-09-24T15:07:49+00:00,32,jd-opensource
openthoughts3_math_teachers_source_split_17000_5000_1_qwen2_5_7b_instruct,ChenWu98/openthoughts3_math_teachers_source_split_17000_5000_1_qwen2_5_7b_instruct,,,2025-09-22T20:11:13+00:00,2025-09-22T20:16:45+00:00,,ChenWu98
openthoughts3_math_teachers_source_split_17000_5000_0_qwen2_5_7b_instruct,ChenWu98/openthoughts3_math_teachers_source_split_17000_5000_0_qwen2_5_7b_instruct,,,2025-09-22T17:19:07+00:00,2025-09-22T17:24:45+00:00,,ChenWu98
openthoughts3_math_teachers_source_condition_17000_5000_qwen2_5_7b_instruct,ChenWu98/openthoughts3_math_teachers_source_condition_17000_5000_qwen2_5_7b_instruct,,,2025-09-22T09:13:19+00:00,2025-09-22T09:18:10+00:00,,ChenWu98
openthoughts3_math_teachers_source_split_17000_20000_1_qwen2_5_7b_instruct,ChenWu98/openthoughts3_math_teachers_source_split_17000_20000_1_qwen2_5_7b_instruct,,,2025-09-21T20:59:34+00:00,2025-09-21T21:04:24+00:00,,ChenWu98
openthoughts3_math_teachers_source_condition_17000_20000_qwen2_5_7b_instruct,ChenWu98/openthoughts3_math_teachers_source_condition_17000_20000_qwen2_5_7b_instruct,,,2025-09-21T20:47:52+00:00,2025-09-21T20:52:33+00:00,,ChenWu98
openthoughts3_math_teachers_source_split_17000_20000_0_qwen2_5_7b_instruct,ChenWu98/openthoughts3_math_teachers_source_split_17000_20000_0_qwen2_5_7b_instruct,,,2025-09-21T12:18:26+00:00,2025-09-21T12:22:46+00:00,,ChenWu98
openthoughts3_math_teachers_source_split_17000_1_qwen2_5_7b_instruct,ChenWu98/openthoughts3_math_teachers_source_split_17000_1_qwen2_5_7b_instruct,,,2025-09-20T12:07:46+00:00,2025-09-20T12:12:51+00:00,,ChenWu98
openthoughts3_math_teachers_source_condition_17000_qwen2_5_7b_instruct,ChenWu98/openthoughts3_math_teachers_source_condition_17000_qwen2_5_7b_instruct,,,2025-09-20T11:38:13+00:00,2025-09-20T11:42:55+00:00,,ChenWu98
openthoughts3_math_teachers_source_split_17000_0_qwen2_5_7b_instruct,ChenWu98/openthoughts3_math_teachers_source_split_17000_0_qwen2_5_7b_instruct,,,2025-09-20T07:20:54+00:00,2025-09-20T07:26:03+00:00,,ChenWu98
openthoughts3_math_teachers_source_split_16384_0_qwen2_5_7b_instruct,ChenWu98/openthoughts3_math_teachers_source_split_16384_0_qwen2_5_7b_instruct,,,2025-09-20T01:11:11+00:00,2025-09-20T01:16:11+00:00,,ChenWu98
openthoughts3_math_teachers_source_split_32768_0_qwen3_4b_instruct_2507,ChenWu98/openthoughts3_math_teachers_source_split_32768_0_qwen3_4b_instruct_2507,,,2025-09-19T16:32:58+00:00,2025-09-19T16:35:43+00:00,,ChenWu98
openthoughts3_math_teachers_source_condition_32768_qwen3_4b_instruct_2507,ChenWu98/openthoughts3_math_teachers_source_condition_32768_qwen3_4b_instruct_2507,,,2025-09-19T15:23:53+00:00,2025-09-19T15:23:53+00:00,,ChenWu98
open-source-quartz-solar-forecast,openclimatefix/open-source-quartz-solar-forecast,,mit,2024-07-18T15:17:54+00:00,2025-09-15T09:33:08+00:00,,openclimatefix
Wilai,OpensourceThai/Wilai,text-generation,,2025-09-08T04:00:57+00:00,2025-09-08T04:27:13+00:00,118,OpensourceThai
Open_Source_GPT_OSS_20B,omunaman/Open_Source_GPT_OSS_20B,text-generation,apache-2.0,2025-09-03T05:59:01+00:00,2025-09-03T19:01:27+00:00,28,omunaman
ImpSeg,openSourcerer9000/ImpSeg,,mit,2025-07-20T23:49:28+00:00,2025-07-20T23:51:47+00:00,,openSourcerer9000
DeepSeek-R1-OpenSource-Soft-Recommendation-COT-GGUF,mradermacher/DeepSeek-R1-OpenSource-Soft-Recommendation-COT-GGUF,,apache-2.0,2025-03-30T01:52:53+00:00,2025-07-11T07:40:47+00:00,13,mradermacher
my-open-source-model,Chitra137/my-open-source-model,text-classification,apache-2.0,2025-06-18T09:00:44+00:00,2025-06-30T10:57:41+00:00,,Chitra137
open_source,henokyemam/open_source,,,2025-05-21T06:19:24+00:00,2025-05-21T06:37:37+00:00,,henokyemam
open-source-ai-t5-liar-lens,gcuomo/open-source-ai-t5-liar-lens,text-generation,apache-2.0,2025-05-06T17:13:00+00:00,2025-05-09T21:56:48+00:00,6,gcuomo
Qwen2.5-7B-Open-R1-Distill-v1-0317,twm-opensource/Qwen2.5-7B-Open-R1-Distill-v1-0317,text-generation,,2025-03-19T09:54:51+00:00,2025-04-29T02:50:51+00:00,1,twm-opensource
Qwen2.5-1.5B-Open-R1-Distill-v1-0317,twm-opensource/Qwen2.5-1.5B-Open-R1-Distill-v1-0317,text-generation,,2025-03-18T01:59:19+00:00,2025-04-29T02:50:40+00:00,2,twm-opensource
Qwen2.5-1.5B-Open-R1-Distill-v2-0318,twm-opensource/Qwen2.5-1.5B-Open-R1-Distill-v2-0318,text-generation,,2025-03-19T09:24:37+00:00,2025-04-29T02:50:29+00:00,7,twm-opensource
DeepSeek-R1-OpenSource-Soft-Recommendation-COT,yyj1205/DeepSeek-R1-OpenSource-Soft-Recommendation-COT,,apache-2.0,2025-03-29T10:15:11+00:00,2025-03-29T10:27:10+00:00,1,yyj1205
OpenSourceEnjoyer_-_LLaMA-3.1-8B-Function-Calling-FP16-awq,RichardErkhov/OpenSourceEnjoyer_-_LLaMA-3.1-8B-Function-Calling-FP16-awq,,,2025-03-28T10:11:03+00:00,2025-03-28T10:15:42+00:00,2,RichardErkhov
OpenSourceEnjoyer_-_LLaMA-3.1-8B-Function-Calling-FP16-8bits,RichardErkhov/OpenSourceEnjoyer_-_LLaMA-3.1-8B-Function-Calling-FP16-8bits,,,2025-03-28T09:57:27+00:00,2025-03-28T10:04:22+00:00,2,RichardErkhov
evals_logs,twm-opensource/evals_logs,,,2025-03-19T15:53:48+00:00,2025-03-19T17:00:33+00:00,,twm-opensource
gemma-3-1b-it,twm-opensource/gemma-3-1b-it,text-generation,,2025-03-19T09:42:40+00:00,2025-03-19T09:51:59+00:00,9,twm-opensource
geox-open-source,MSheng-Lee/geox-open-source,,,2025-01-08T03:24:17+00:00,2025-01-24T04:00:01+00:00,,MSheng-Lee
DeepSeek-R1-bf16,opensourcerelease/DeepSeek-R1-bf16,text-generation,mit,2025-01-21T01:51:20+00:00,2025-01-22T11:18:49+00:00,181,opensourcerelease
DeepSeek-R1-Zero-bf16,opensourcerelease/DeepSeek-R1-Zero-bf16,text-generation,mit,2025-01-21T01:54:32+00:00,2025-01-22T11:18:33+00:00,2,opensourcerelease
DeepSeek-V3-Base-bf16,opensourcerelease/DeepSeek-V3-Base-bf16,,,2024-12-26T16:08:49+00:00,2024-12-30T08:38:01+00:00,4,opensourcerelease
DeepSeek-V3-bf16,opensourcerelease/DeepSeek-V3-bf16,,,2024-12-26T16:07:44+00:00,2024-12-30T08:37:05+00:00,40077,opensourcerelease
stackexchange_opensource-GGUF,mradermacher/stackexchange_opensource-GGUF,,llama3.1,2024-12-28T08:49:42+00:00,2024-12-28T09:12:01+00:00,16,mradermacher
stackexchange_opensource,mlfoundations-dev/stackexchange_opensource,text-generation,llama3.1,2024-12-27T01:11:21+00:00,2024-12-27T01:31:41+00:00,4,mlfoundations-dev
llama1B_opensource_with_prompt,WhiteboardLLM/llama1B_opensource_with_prompt,,mit,2024-11-24T15:38:50+00:00,2024-11-24T15:40:16+00:00,,WhiteboardLLM
opensource_12000,WhiteboardLLM/opensource_12000,,mit,2024-11-24T10:49:25+00:00,2024-11-24T10:57:48+00:00,,WhiteboardLLM
pretrain_open_source,namul2/pretrain_open_source,,,2024-11-22T16:14:07+00:00,2024-11-22T16:14:07+00:00,,namul2
Pricer-FineTune-OpenSource-2024-10-23_08.48.15,jeffrey03/Pricer-FineTune-OpenSource-2024-10-23_08.48.15,,llama3.1,2024-10-23T09:00:54+00:00,2024-10-23T10:16:44+00:00,2,jeffrey03
opencv-source,cqchangm/opencv-source,,,2024-09-06T01:50:17+00:00,2024-09-09T02:44:18+00:00,,cqchangm
LLaMA-3.1-8B-Function-Calling-100-GGUF,OpenSourceEnjoyer/LLaMA-3.1-8B-Function-Calling-100-GGUF,,apache-2.0,2024-08-24T03:37:00+00:00,2024-08-24T03:50:50+00:00,9,OpenSourceEnjoyer
LLaMA-3.1-8B-ST-GGUF,OpenSourceEnjoyer/LLaMA-3.1-8B-ST-GGUF,,apache-2.0,2024-08-23T13:42:24+00:00,2024-08-23T14:00:26+00:00,11,OpenSourceEnjoyer
Opensource_attack_examples,Pankaj001/Opensource_attack_examples,,,2024-06-04T10:40:01+00:00,2024-07-31T05:20:30+00:00,,Pankaj001
Mistral-Nemo-Function-Calling-FP16,OpenSourceEnjoyer/Mistral-Nemo-Function-Calling-FP16,text-generation,apache-2.0,2024-07-25T00:47:13+00:00,2024-07-25T00:53:22+00:00,2,OpenSourceEnjoyer
Mistral-Nemo-Function-Calling-GGUF,OpenSourceEnjoyer/Mistral-Nemo-Function-Calling-GGUF,,apache-2.0,2024-07-24T23:54:42+00:00,2024-07-25T00:45:55+00:00,,OpenSourceEnjoyer
LLaMA-3.1-8B-Function-Calling-FP16,OpenSourceEnjoyer/LLaMA-3.1-8B-Function-Calling-FP16,text-generation,apache-2.0,2024-07-24T22:41:27+00:00,2024-07-24T22:47:41+00:00,2,OpenSourceEnjoyer
LLaMA-3.1-8B-Function-Calling-GGUF,OpenSourceEnjoyer/LLaMA-3.1-8B-Function-Calling-GGUF,,apache-2.0,2024-07-24T22:28:05+00:00,2024-07-24T22:41:19+00:00,6,OpenSourceEnjoyer
LLaMA-3-8B-Instruct-T-Q4_K_M-GGUF,OpenSourceEnjoyer/LLaMA-3-8B-Instruct-T-Q4_K_M-GGUF,,,2024-07-20T16:48:53+00:00,2024-07-20T16:59:41+00:00,6,OpenSourceEnjoyer
LLaMA-3-8B-Function-Calling-FP16,OpenSourceEnjoyer/LLaMA-3-8B-Function-Calling-FP16,text-generation,apache-2.0,2024-06-27T04:00:21+00:00,2024-06-27T04:05:10+00:00,2,OpenSourceEnjoyer
LLaMA-3-8B-Function-Calling-GGUF,OpenSourceEnjoyer/LLaMA-3-8B-Function-Calling-GGUF,,apache-2.0,2024-06-27T03:45:27+00:00,2024-06-27T04:00:15+00:00,13,OpenSourceEnjoyer
llm-open-source,PedroCintra67/llm-open-source,,,2024-05-30T22:48:21+00:00,2024-05-30T22:48:21+00:00,,PedroCintra67
Opensourcecognix,George33/Opensourcecognix,,,2024-03-28T11:57:26+00:00,2024-03-28T11:57:26+00:00,,George33
Nous-Hermes-2-Mistral-7B-DPO-SFT-GGUF-Q8,OpenSourceEnjoyer/Nous-Hermes-2-Mistral-7B-DPO-SFT-GGUF-Q8,,apache-2.0,2024-03-19T21:58:45+00:00,2024-03-19T22:04:21+00:00,55,OpenSourceEnjoyer
sbds-model,openSourcerer9000/sbds-model,,mit,2024-03-19T16:33:42+00:00,2024-03-19T16:47:03+00:00,,openSourcerer9000
Nous-Hermes-2-Mistral-7B-DPO-SFT-FP16,OpenSourceEnjoyer/Nous-Hermes-2-Mistral-7B-DPO-SFT-FP16,text-generation,apache-2.0,2024-03-15T01:19:19+00:00,2024-03-15T01:31:09+00:00,38,OpenSourceEnjoyer
Nous-Hermes-2-Mistral-7B-DPO-SFT-LoRA,OpenSourceEnjoyer/Nous-Hermes-2-Mistral-7B-DPO-SFT-LoRA,,apache-2.0,2024-03-15T01:19:01+00:00,2024-03-15T01:19:18+00:00,,OpenSourceEnjoyer
Yi-34B-200K-bnb-4bit,OpenSourceEnjoyer/Yi-34B-200K-bnb-4bit,text-generation,,2024-03-14T11:40:16+00:00,2024-03-14T12:15:56+00:00,2,OpenSourceEnjoyer
open-source,mrdas/open-source,,,2024-02-29T13:29:58+00:00,2024-02-29T13:29:58+00:00,,mrdas
flant5-opensource-and-tuned,mixtralyanis/flant5-opensource-and-tuned,,,2024-02-27T16:20:33+00:00,2024-02-27T16:24:59+00:00,2,mixtralyanis
flant5-opensource,mixtralyanis/flant5-opensource,,apache-2.0,2024-02-27T16:12:16+00:00,2024-02-27T16:15:21+00:00,3,mixtralyanis
bart_opensource,mixtralyanis/bart_opensource,,mit,2024-02-25T18:02:34+00:00,2024-02-25T18:50:38+00:00,2,mixtralyanis
wormgpt-24,Opensourced/wormgpt-24,,apache-2.0,2024-02-07T04:21:04+00:00,2024-02-07T04:31:50+00:00,,Opensourced
coh_llama_on_open_source_data,haoliu/coh_llama_on_open_source_data,,,2023-08-26T19:14:12+00:00,2023-09-14T07:24:10+00:00,,haoliu
gpt4all,OpenSourceMentorShip/gpt4all,,,2023-04-17T14:21:29+00:00,2023-04-17T14:33:12+00:00,,OpenSourceMentorShip
extract_names,opensource/extract_names,token-classification,apache-2.0,2022-03-02T23:29:05+00:00,2021-01-19T04:59:04+00:00,10,opensource
